# Transmission spectrum extracted from transmission.png
# Columns: pixel_x, pixel_y, x_normalized, y_normalized
# Note: x_normalized and y_normalized are in range [0, 1]
# The actual wavelength/frequency and transmission values depend on the original plot axes
# Modify the ranges in the script if you know the actual axis values
#
# pixel_x    pixel_y    x_normalized    y_normalized(transmission)
   320.0     236.3  0.292505  0.384673
   321.0     334.5  0.293419  0.128906
   322.0     334.5  0.294333  0.128906
   323.0     335.0  0.295247  0.127604
   324.0     236.6  0.296161  0.383929
   325.0     236.6  0.297075  0.383929
   326.0     236.6  0.297989  0.383929
   327.0     335.5  0.298903  0.126302
   328.0     335.5  0.299817  0.126302
   329.0     335.5  0.300731  0.126302
   330.0     236.6  0.301645  0.383929
   331.0     236.6  0.302559  0.383929
   332.0     236.6  0.303473  0.383929
   333.0     335.5  0.304388  0.126302
   334.0     335.5  0.305302  0.126302
   335.0     335.5  0.306216  0.126302
   336.0     249.1  0.307130  0.351237
   337.0     278.2  0.308044  0.275391
   338.0     307.4  0.308958  0.199544
   339.0     336.5  0.309872  0.123698
   340.0     336.5  0.310786  0.123698
   341.0     336.5  0.311700  0.123698
   342.0     236.9  0.312614  0.383185
   343.0     236.9  0.313528  0.383185
   344.0     236.9  0.314442  0.383185
   345.0     336.5  0.315356  0.123698
   346.0     336.5  0.316271  0.123698
   347.0     336.5  0.317185  0.123698
   348.0     236.9  0.318099  0.383185
   349.0     236.9  0.319013  0.383185
   350.0     236.9  0.319927  0.383185
   351.0     336.5  0.320841  0.123698
   352.0     336.5  0.321755  0.123698
   353.0     336.5  0.322669  0.123698
   354.0     236.9  0.323583  0.383185
   355.0     236.9  0.324497  0.383185
   356.0     236.9  0.325411  0.383185
   357.0     336.5  0.326325  0.123698
   358.0     335.5  0.327239  0.126302
   359.0     335.5  0.328154  0.126302
   360.0     236.6  0.329068  0.383929
   361.0     236.6  0.329982  0.383929
   362.0     236.6  0.330896  0.383929
   363.0     335.5  0.331810  0.126302
   364.0     335.5  0.332724  0.126302
   365.0     335.5  0.333638  0.126302
   366.0     236.6  0.334552  0.383929
   367.0     236.6  0.335466  0.383929
   368.0     236.6  0.336380  0.383929
   369.0     334.5  0.337294  0.128906
   370.0     334.5  0.338208  0.128906
   371.0     334.5  0.339122  0.128906
   372.0     236.3  0.340037  0.384673
   373.0     236.3  0.340951  0.384673
   374.0     236.3  0.341865  0.384673
   375.0     334.5  0.342779  0.128906
   376.0     333.5  0.343693  0.131510
   377.0     333.5  0.344607  0.131510
   378.0     236.0  0.345521  0.385417
   379.0     236.0  0.346435  0.385417
   380.0     236.0  0.347349  0.385417
   381.0     235.9  0.348263  0.385603
   382.0     235.9  0.349177  0.385789
   383.0     235.8  0.350091  0.385975
   384.0     235.7  0.351005  0.386161
   385.0     235.7  0.351920  0.386161
   386.0     235.7  0.352834  0.386161
   387.0     331.5  0.353748  0.136719
   388.0     331.5  0.354662  0.136719
   389.0     331.5  0.355576  0.136719
   390.0     235.4  0.356490  0.386905
   391.0     235.4  0.357404  0.386905
   392.0     235.1  0.358318  0.387649
   393.0     330.5  0.359232  0.139323
   394.0     330.5  0.360146  0.139323
   395.0     329.5  0.361060  0.141927
   396.0     234.9  0.361974  0.388393
   397.0     234.9  0.362888  0.388393
   398.0     234.9  0.363803  0.388393
   399.0     329.5  0.364717  0.141927
   400.0     329.5  0.365631  0.141927
   401.0     328.5  0.366545  0.144531
   402.0     234.6  0.367459  0.389137
