wavelength,transmission
490,0.7182525191978093
491,0.7205147762703799
492,0.7226163623765998
493,0.7245574781083406
494,0.7263406934722642
495,0.7279697799209615
496,0.7294482040538306
497,0.730779192886887
498,0.7319661056886481
499,0.7330127615685573
500,0.7339223507195055
501,0.7346986069126981
502,0.7353460727432197
503,0.7358690387357315
504,0.7362724453109939
505,0.7365616694557187
506,0.7367413541781171
507,0.7368172711575195
508,0.7367947400167677
509,0.7366769471751872
510,0.7364668773053189
511,0.7361683559942288
512,0.7357867358626706
513,0.7353253065637015
514,0.7347871462575348
515,0.7341770449408452
516,0.7334999302688979
517,0.7327602217057159
518,0.7319616503268302
519,0.7311073983427203
520,0.7302016579325445
521,0.7292500064398163
522,0.7282576733438473
523,0.7272278143608362
524,0.7261628426344814
525,0.7250689844790201
526,0.7239504507298798
527,0.7228093863724393
528,0.7216487443542765
529,0.7204725837564037
530,0.719285531733343
531,0.7180920377456419
532,0.7168947598177536
533,0.7156958097884013
534,0.7144979522050012
535,0.7133032864254373
536,0.7121172070770944
537,0.7109503008060172
538,0.7098121039192212
539,0.7087007441200422
540,0.7076045432716008
541,0.7065277796538776
542,0.7054740409400068
543,0.7044425035178721
544,0.7034358884589246
545,0.7024566778669363
546,0.7015062572589644
547,0.7005854240357787
548,0.699694595476344
549,0.6988343451930514
550,0.6980060831558358
551,0.6972112545448887
552,0.6964504054743541
553,0.6957227407692049
554,0.6950292525915969
555,0.6943709537112132
556,0.6937474827269788
557,0.6931581158372072
558,0.6926029348161505
559,0.6920828796551237
560,0.691597686772978
561,0.6911469831357391
562,0.6907304431716876
563,0.6903469716722788
564,0.6899962630170146
565,0.6896785669367586
566,0.6893933028884935
567,0.6891395217209672
568,0.6889161487935491
569,0.6887222523091235
570,0.688557096617728
571,0.6884198471779026
572,0.688309284196142
573,0.6882241250772436
574,0.6881632426693151
575,0.6881256766408995
576,0.6881099165327875
577,0.6881145886229346
578,0.6881390001085177
579,0.688182328046456
580,0.688243682363478
581,0.6883223385856377
582,0.6884178894964034
583,0.6885292985640094
584,0.6886552402832236
585,0.6887953554822692
586,0.6889488094900204
587,0.6891145242415191
588,0.6892920341623164
589,0.6894801806244015
590,0.6896777908239206
591,0.6898846750327412
592,0.6901004254180081
593,0.6903242598686715
594,0.6905550795756733
595,0.6907919483118756
596,0.691033932175324
597,0.6912802288445196
598,0.6915310966857267
599,0.6917853789594482
600,0.6920407353334835
601,0.6922976141376945
602,0.6925556121425561
603,0.6928130549124889
604,0.6930687943536246
605,0.6933222622222581
606,0.69357317345962
607,0.6938210430281262
608,0.6940649560504948
609,0.6943035845596709
610,0.6945354098284395
611,0.6947605427512358
612,0.6949787271106066
613,0.6951878949863856
614,0.6953872755600903
615,0.6955767741581101
616,0.6957560910008507
617,0.6959233612039972
618,0.696077752633795
619,0.6962198041751368
620,0.6963484975407107
621,0.6964623649425982
622,0.6965604528623066
623,0.696643442492804
624,0.6967104610985662
625,0.6967598415850402
626,0.6967916550553604
627,0.6968060590019319
628,0.696802524339497
629,0.6967795412941595
630,0.6967370162030568
631,0.6966751180672469
632,0.6965930577470658
633,0.6964898505313744
634,0.6963648815331288
635,0.6962181866156409
636,0.6960501475894298
637,0.6958605289251235
638,0.695648226981692
639,0.6954122869168712
640,0.6951528431052506
641,0.6948704034197747
642,0.6945634824204768
643,0.6942316281215165
644,0.6938754262584926
645,0.6934950216989005
646,0.6930894741810505
647,0.692657994376659
648,0.6922014718172909
649,0.6917198657644726
650,0.6912123864200374
651,0.6906782370579324
652,0.6901181224348738
653,0.6895325021451344
654,0.688920661222082
655,0.6882826875456671
656,0.6876190135140993
657,0.6869299498685894
658,0.6862151315258073
659,0.685474573542356
660,0.6847087429119499
661,0.6839176874146083
662,0.6831013477994631
663,0.6822597574964037
664,0.6813932317039859
665,0.6805021227087742
666,0.6795867709083536
667,0.6786474630874767
668,0.6776840528906158
669,0.6766966658796505
670,0.6756862312421632
671,0.6746527175839712
672,0.6735961286148965
673,0.6725172040405318
674,0.6714166372640621
675,0.6702945862291079
676,0.6691508777936106
677,0.6679866254798662
678,0.666802250152082
679,0.6655974155295412
680,0.6643730390152943
681,0.6631297581022121
682,0.6618677700412304
